SRR2920513_CD19plusCD20plus_B_cell_Bcell	Bcell
SRR2920517_CD19plusCD20plus_B_cell_Bcell	Bcell
SRR2920520_CD8plus_T_cell_CD8Tcell	CD8-Tcell
SRR2920560_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920577_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920501_common_myeloid_progenitor_cell_CMP	CMP
SRR2920481_common_myeloid_progenitor_cell_CMP	CMP
SRR2920505_granulocyte_macrophage_progenitor_cell_GMP	GMP
SRR2920565_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920594_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920566_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920489_CD34plus_bone_marrow_CD34_Bone_Marrow	CD34_bone_marrow
SRR2920593_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920468_lymphoidminusprimed_multipotent_progenitor_cell_LMPP	LMPP
SRR2920575_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920551_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920546_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920587_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920524_CD71plusGPAplus_erythroblast_cell_Ery	Ery
SRR2920534_multipotent_progenitor_cell_MPP	MPP
SRR2920585_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920493_CD4plus_T_cell_CD4Tcell	CD4-Tcell
SRR2920591_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920540_megakaryocyte_erythroid_progenitor_cell_MEP	MEP
SRR2920527_CD56plus_natural_killer_cell_NKcell	NK
SRR2920515_CD8plus_T_cell_CD8Tcell	CD8-Tcell
SRR2920496_CD4plus_T_cell_CD4Tcell	CD4-Tcell
SRR2920466_hematopoietic_stem_cell_HSC	HSC_HSC
SRR2920568_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920507_hematopoietic_stem_cell_HSC	HSC_HSC
SRR2920553_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920480_lymphoidminusprimed_multipotent_progenitor_cell_LMPP	LMPP
SRR2920588_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920485_megakaryocyte_erythroid_progenitor_cell_MEP	MEP
SRR2920573_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920474_megakaryocyte_erythroid_progenitor_cell_MEP	MEP
SRR2920521_CD8plus_T_cell_CD8Tcell	CD8-Tcell
